"id","type","titre","annee","note","genre","pays","realisateur","duree","nb_saisons","nb_episodes","statut","description","titre_original"
"MED-269","SERIE","Cathedral of the Sea",2018,7.4,"DRAME","Espagne","Andreas Fischer","",1,6,"EN_COURS","Dans cette serie dramatique, deux rivaux contraints de collaborer navigue entre alliances et trahisons.","El Pacto de las Sombras"
"MED-270","FILM","Steel Magnolias",1989,7.3,"COMEDIE","États-Unis","Luca Ferrari",119,"","","","Dans ce film comedie, des amis dont les destins s'entremelent doit affronter des evenements qui bouleversent sa vie.",""
"MED-271","FILM","6 Underground",2019,6.1,"THRILLER","États-Unis","Carlos Fernandez",128,"","","","Un recit a suspense intense mettant en scene une famille aux liens complexes.",""
"MED-272","FILM","Executive Decision",1996,8.5,"ACTION","États-Unis","Stuart Baird",133,"","","","Un film action qui suit une communaute bouleversee par un evenement inattendu dans une histoire pleine de rebondissements.",""
"MED-273","FILM","Our Lady of San Juan, Four Centuries of Miracles",2021,6.2,"DRAME","Mexique","Diego Morales",122,"","","","Un recit dramatique intense mettant en scene un personnage principal en quete de verite.","El Murmullo de los Ausentes"
"MED-274","FILM","Elisa & Marcela",2019,6.6,"DRAME","Espagne","Elena Garcia",118,"","","","Un recit dramatique intense mettant en scene un heros ordinaire plonge dans l'extraordinaire.","La Caida de las Ilusiones"
"MED-275","FILM","Under The Skin",2013,5.8,"DRAME","Suisse","Jonathan Glazer",108,"","","","Un film dramatique qui suit un personnage principal en quete de verite dans une histoire pleine de rebondissements.",""
"MED-276","FILM","Kings",2017,8.1,"DRAME","France","Deniz Gamze Ergüven",87,"","","","Un recit dramatique intense mettant en scene un personnage principal en quete de verite.",""
"MED-277","SERIE","El Dragón: Return of a Warrior",2019,6.8,"ACTION","États-Unis","Julie Bernard","",2,18,"TERMINEE","Un show action captivant centre sur un groupe de personnages hauts en couleur.",""
"MED-278","SERIE","Money Heist",2017,8.2,"THRILLER","Espagne","Sabine Hoffmann","",5,60,"ANNULEE","Cette serie a suspense suit un heros ordinaire plonge dans l'extraordinaire au fil de plusieurs saisons pleines de tensions.","La Casa de Papel"
"MED-279","SERIE","Private Practice",2012,5.9,"COMEDIE","États-Unis","Stefan Becker","",6,60,"EN_COURS","Un show comedie captivant centre sur un heros ordinaire plonge dans l'extraordinaire.",""
"MED-280","FILM","Deadcon",2019,7.8,"HORREUR","États-Unis","Caryn Waechter",78,"","","","Une histoire d'horreur centree sur un heros ordinaire plonge dans l'extraordinaire, entre tension et emotion.",""
"MED-281","SERIE","Cable Girls",2017,7.6,"DRAME","Espagne","Robert Anderson","",5,40,"TERMINEE","Dans cette serie dramatique, un heros ordinaire plonge dans l'extraordinaire navigue entre alliances et trahisons.","Las Chicas del Cable"
"MED-282","SERIE","Lego Bionicle: The Journey to One",2016,5.4,"ACTION","États-Unis","Andreas Fischer","",2,20,"ANNULEE","Une serie action qui explore le quotidien de un personnage principal en quete de verite et ses secrets.",""
"MED-283","FILM","National Bird",2016,6.2,"DOCUMENTAIRE","États-Unis","Sonia Kennebeck",92,"","","","Ce long-metrage documentaire raconte le parcours de un heros ordinaire plonge dans l'extraordinaire face a des choix difficiles.",""
"MED-284","FILM","Marc Maron: End Times Fun",2020,6.8,"COMEDIE","États-Unis","Carlos Fernandez",71,"","","","Dans ce film comedie, un groupe de personnages hauts en couleur doit affronter des evenements qui bouleversent sa vie.",""
"MED-285","FILM","Who Am I",2014,7.5,"THRILLER","Allemagne","Diego Morales",105,"","","","Ce long-metrage a suspense raconte le parcours de une famille aux liens complexes face a des choix difficiles.","Ein Leben im Wiederaufbau"
"MED-286","SERIE","The Walking Dead",2010,8.2,"ACTION","États-Unis","Stefan Becker","",11,132,"EN_COURS","Cette production action suit l'evolution de deux rivaux contraints de collaborer episode apres episode.",""
"MED-287","FILM","El Mago Pop",2013,6.8,"REALITE","Espagne","Klaus Weber",44,"","","","Un recit de tele-realite intense mettant en scene deux rivaux contraints de collaborer.","Una Estrella en la Noche"
"MED-288","FILM","Ayotzinapa: The Turtle's Pace",2018,7.4,"DOCUMENTAIRE","Mexique","Thomas Richter",80,"","","","Un film documentaire qui suit une famille aux liens complexes dans une histoire pleine de rebondissements.","El Despertar de la Arena"
"MED-289","SERIE","Social Distance",2020,5.7,"DRAME","États-Unis","Andreas Fischer","",1,8,"TERMINEE","Une serie dramatique qui explore le quotidien de un heros ordinaire plonge dans l'extraordinaire et ses secrets.",""
"MED-290","FILM","Stowaway",2021,5.6,"THRILLER","Allemagne","Carlos Fernandez",117,"","","","Une histoire a suspense centree sur un personnage principal en quete de verite, entre tension et emotion.","Die Fluegel des Schicksals"
"MED-291","FILM","The Last Paradiso",2021,5.6,"DRAME","Italie","Camille Dubois",107,"","","","Une histoire dramatique centree sur des amis dont les destins s'entremelent, entre tension et emotion.","Una Stella nella Notte"
"MED-292","FILM","Prosecuting Evil: The Extraordinary World of Ben Ferencz",2019,7.4,"DOCUMENTAIRE","Canada","Barry Avrich",83,"","","","Ce long-metrage documentaire raconte le parcours de des amis dont les destins s'entremelent face a des choix difficiles.",""
"MED-293","FILM","The Rainmaker",1997,5.5,"DRAME","États-Unis","Francis Ford Coppola",136,"","","","Un recit dramatique intense mettant en scene un personnage principal en quete de verite.",""
"MED-294","SERIE","Shine On with Reese",2018,7.8,"COMEDIE","États-Unis","Javier Ruiz","",1,9,"ANNULEE","Cette production comedie suit l'evolution de un personnage principal en quete de verite episode apres episode.",""
"MED-295","FILM","I Got the Hook Up",1998,6.4,"COMEDIE","États-Unis","Michael Martin",93,"","","","Un film comedie qui suit une famille aux liens complexes dans une histoire pleine de rebondissements.",""
"MED-296","SERIE","Challenger",2020,7.7,"DRAME","États-Unis","Julie Bernard","",1,11,"EN_COURS","Une serie dramatique qui explore le quotidien de un enqueteur determine a resoudre une affaire et ses secrets.",""
"MED-297","FILM","The Lord of the Rings: The Return of the King",2003,8.8,"SCIENCE_FICTION","Nouvelle-Zelande","Peter Jackson",201,"","","","Dans ce film de science-fiction, des protagonistes confrontes a leur passe doit affronter des evenements qui bouleversent sa vie.",""
"MED-298","FILM","The Awakening of Motti Wolkenbruch",2018,6.6,"COMEDIE","Allemagne","Camille Dubois",94,"","","","Une histoire comedie centree sur une communaute bouleversee par un evenement inattendu, entre tension et emotion.","Der Fall der Illusionen"
"MED-299","FILM","I'm No Longer Here",2019,7.3,"DRAME","Mexique","Carlos Fernandez",112,"","","","Un recit dramatique intense mettant en scene une famille aux liens complexes.","El Secreto de los Origenes"
"MED-300","FILM","No Escape",2015,5.5,"ACTION","États-Unis","John Erick Dowdle",103,"","","","Dans ce film action, un personnage principal en quete de verite doit affronter des evenements qui bouleversent sa vie.",""
